yolo_input.conv.weights                            backbone.conv0.conv.weight                        
yolo_input.bn.scale                                backbone.conv0.batch_norm.weight                  
yolo_input.bn.offset                               backbone.conv0.batch_norm.bias                    
yolo_input.bn.mean                                 backbone.conv0.batch_norm._mean                   
yolo_input.bn.var                                  backbone.conv0.batch_norm._variance               
yolo_input.downsample.conv.weights                 backbone.downsample0.conv_bn_layer.conv.weight    
yolo_input.downsample.bn.scale                     backbone.downsample0.conv_bn_layer.batch_norm.weight
yolo_input.downsample.bn.offset                    backbone.downsample0.conv_bn_layer.batch_norm.bias
yolo_input.downsample.bn.mean                      backbone.downsample0.conv_bn_layer.batch_norm._mean
yolo_input.downsample.bn.var                       backbone.downsample0.conv_bn_layer.batch_norm._variance
stage.0.0.0.conv.weights                           backbone.stage.0.basicblock0.conv1.conv.weight    
stage.0.0.0.bn.scale                               backbone.stage.0.basicblock0.conv1.batch_norm.weight
stage.0.0.0.bn.offset                              backbone.stage.0.basicblock0.conv1.batch_norm.bias
stage.0.0.0.bn.mean                                backbone.stage.0.basicblock0.conv1.batch_norm._mean
stage.0.0.0.bn.var                                 backbone.stage.0.basicblock0.conv1.batch_norm._variance
stage.0.0.1.conv.weights                           backbone.stage.0.basicblock0.conv2.conv.weight    
stage.0.0.1.bn.scale                               backbone.stage.0.basicblock0.conv2.batch_norm.weight
stage.0.0.1.bn.offset                              backbone.stage.0.basicblock0.conv2.batch_norm.bias
stage.0.0.1.bn.mean                                backbone.stage.0.basicblock0.conv2.batch_norm._mean
stage.0.0.1.bn.var                                 backbone.stage.0.basicblock0.conv2.batch_norm._variance
stage.0.downsample.conv.weights                    backbone.stage.0.downsample.conv_bn_layer.conv.weight
stage.0.downsample.bn.scale                        backbone.stage.0.downsample.conv_bn_layer.batch_norm.weight
stage.0.downsample.bn.offset                       backbone.stage.0.downsample.conv_bn_layer.batch_norm.bias
stage.0.downsample.bn.mean                         backbone.stage.0.downsample.conv_bn_layer.batch_norm._mean
stage.0.downsample.bn.var                          backbone.stage.0.downsample.conv_bn_layer.batch_norm._variance
stage.1.0.0.conv.weights                           backbone.stage.1.basicblock0.conv1.conv.weight    
stage.1.0.0.bn.scale                               backbone.stage.1.basicblock0.conv1.batch_norm.weight
stage.1.0.0.bn.offset                              backbone.stage.1.basicblock0.conv1.batch_norm.bias
stage.1.0.0.bn.mean                                backbone.stage.1.basicblock0.conv1.batch_norm._mean
stage.1.0.0.bn.var                                 backbone.stage.1.basicblock0.conv1.batch_norm._variance
stage.1.0.1.conv.weights                           backbone.stage.1.basicblock0.conv2.conv.weight    
stage.1.0.1.bn.scale                               backbone.stage.1.basicblock0.conv2.batch_norm.weight
stage.1.0.1.bn.offset                              backbone.stage.1.basicblock0.conv2.batch_norm.bias
stage.1.0.1.bn.mean                                backbone.stage.1.basicblock0.conv2.batch_norm._mean
stage.1.0.1.bn.var                                 backbone.stage.1.basicblock0.conv2.batch_norm._variance
stage.1.1.0.conv.weights                           backbone.stage.1.stage.1.1.conv1.conv.weight      
stage.1.1.0.bn.scale                               backbone.stage.1.stage.1.1.conv1.batch_norm.weight
stage.1.1.0.bn.offset                              backbone.stage.1.stage.1.1.conv1.batch_norm.bias  
